ID,Participant,Accent,Sentence,Item,Stimulus,Response,Word_Type,Accuracy,Error_Type,Familiarity,,,
257,36,ChinEng,32,267,violent,violent,Content,TRUE,,Rarely,,,
258,36,ChinEng,32,268,things,things,Content,TRUE,,Rarely,,,
259,38,ChinEng,32,264,forget,forget,Content,TRUE,,Never,,,
260,38,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
261,38,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
262,38,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
263,38,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
264,39,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
265,39,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
266,39,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
267,39,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
268,39,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
269,40,ChinEng,32,264,forget,forget,Content,TRUE,,Rarely,,,
270,40,ChinEng,32,265,all,all,Function,TRUE,,Rarely,,,
271,40,ChinEng,32,266,the,the,Function,TRUE,,Rarely,,,
272,40,ChinEng,32,267,violent,violent,Content,TRUE,,Rarely,,,
273,40,ChinEng,32,268,things,things,Content,TRUE,,Rarely,,,
274,44,ChinEng,32,264,forget,Forget,Content,TRUE,,Rarely,,,
275,44,ChinEng,32,265,all,all,Function,TRUE,,Rarely,,,
276,44,ChinEng,32,266,the,the,Function,TRUE,,Rarely,,,
277,44,ChinEng,32,267,violent,violent,Content,TRUE,,Rarely,,,
278,44,ChinEng,32,268,things,things,Content,TRUE,,Rarely,,,
279,46,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
280,46,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
281,46,ChinEng,32,266,the,X,Function,FALSE,Omission_FW,Never,,,
282,46,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
283,46,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
284,48,ChinEng,32,264,forget,Forget,Content,TRUE,,Rarely,,,
285,48,ChinEng,32,265,all,all,Function,TRUE,,Rarely,,,
286,48,ChinEng,32,266,the,the,Function,TRUE,,Rarely,,,
287,48,ChinEng,32,267,violent,violent,Content,TRUE,,Rarely,,,
288,48,ChinEng,32,268,things,things,Content,TRUE,,Rarely,,,
289,50,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
290,50,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
291,50,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
292,50,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
293,50,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
294,54,ChinEng,32,264,forget,forget,Content,TRUE,,Never,,,
295,54,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
296,54,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
297,54,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
298,54,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
299,56,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
300,56,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
301,56,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
302,56,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
303,56,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
304,58,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
305,58,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
306,58,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
307,58,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
308,58,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
309,59,ChinEng,32,264,forget,Forget,Content,TRUE,,Never,,,
310,59,ChinEng,32,265,all,all,Function,TRUE,,Never,,,
311,59,ChinEng,32,266,the,the,Function,TRUE,,Never,,,
312,59,ChinEng,32,267,violent,violent,Content,TRUE,,Never,,,
313,59,ChinEng,32,268,things,things,Content,TRUE,,Never,,,
314,61,ChinEng,32,264,forget,Forget,Content,TRUE,,Rarely,,,
315,61,ChinEng,32,265,all,all,Function,TRUE,,Rarely,,,
316,61,ChinEng,32,266,the,the,Function,TRUE,,Rarely,,,
317,61,ChinEng,32,267,violent,violent,Content,TRUE,,Rarely,,,
318,61,ChinEng,32,268,things,things,Content,TRUE,,Rarely,,,
319,62,ChinEng,32,264,forget,forget,Content,TRUE,,Rarely,,,
320,62,ChinEng,32,265,all,all,Function,TRUE,,Rarely,,,
321,62,ChinEng,32,266,the,the,Function,TRUE,,Rarely,,,
322,62,ChinEng,32,267,violent,violent,Content,TRUE,,Rarely,,,
323,62,ChinEng,32,268,things,things,Content,TRUE,,Rarely,,,
